HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"8 Vo Nguyen Giap Khue My Ward, Ngu Hanh Son District, Da Nang 550000 Vietnam",,,155,,Crowne Plaza Danang,$522 ,,"$158, - ,$522","Which popular attractions are close to Crowne Plaza Danang?, ,What are some of the property amenities at Crowne Plaza Danang?, ,What food & drink options are available at Crowne Plaza Danang?, ,Is parking available at Crowne Plaza Danang?, ,What are some restaurants close to Crowne Plaza Danang?, ,Are there opportunities to exercise at Crowne Plaza Danang?, ,Does Crowne Plaza Danang have an airport shuttle?, ,Does Crowne Plaza Danang have airport transportation?, ,Are any cleaning services offered at Crowne Plaza Danang?, ,Are pets allowed at Crowne Plaza Danang?, ,Does Crowne Plaza Danang offer any business services?, ",35,115,#182 of 408 hotels in Da Nang,3.5,4.0 of 5 bubbles,,Very good,535,"Ocean View,Modern",30,https://www.tripadvisor.com/Hotel_Review-g298085-d2307297-Reviews-Crowne_Plaza_Danang-Da_Nang.html
"05 Truong Sa Street Hoa Hai Ward, Ngu Hanh Son District, Da Nang 550000 Vietnam",156,50,3079,"English, Vietnamese",Hyatt Regency Danang Resort & Spa,$242 ,,"$150, - ,$242","What are some of the property amenities at Hyatt Regency Danang Resort & Spa?, ,Which room amenities are available at Hyatt Regency Danang Resort & Spa?, ,What food & drink options are available at Hyatt Regency Danang Resort & Spa?, ,Is parking available at Hyatt Regency Danang Resort & Spa?, ,Are there opportunities to exercise at Hyatt Regency Danang Resort & Spa?, ,Does Hyatt Regency Danang Resort & Spa have an airport shuttle?, ,Does Hyatt Regency Danang Resort & Spa have airport transportation?, ,Are any cleaning services offered at Hyatt Regency Danang Resort & Spa?, ,Does Hyatt Regency Danang Resort & Spa offer any business services?, ,Which languages are spoken by the staff at Hyatt Regency Danang Resort & Spa?, ,Does Hyatt Regency Danang Resort & Spa have any great views?, ",870,"2,940",#7 of 11 resorts in Da Nang,4.5,5.0 of 5 bubbles,1126,Excellent,375,"Luxury,Green",574,https://www.tripadvisor.com/Hotel_Review-g298085-d2340470-Reviews-Hyatt_Regency_Danang_Resort_Spa-Da_Nang.html
"03 Vo Nghia, Da Nang 55000 Vietnam",2,78,123,Vietnamese,Lahome Apartment And Villa,$58 ,,"$34, - ,$58","Which popular attractions are close to Lahome Apartment And Villa?, ,What are some of the property amenities at Lahome Apartment And Villa?, ,Which room amenities are available at Lahome Apartment And Villa?, ,What food & drink options are available at Lahome Apartment And Villa?, ,Is parking available at Lahome Apartment And Villa?, ,What are some restaurants close to Lahome Apartment And Villa?, ,Are there opportunities to exercise at Lahome Apartment And Villa?, ,Does Lahome Apartment And Villa have airport transportation?, ,Are any cleaning services offered at Lahome Apartment And Villa?, ,Does Lahome Apartment And Villa have any great views?, ",18,77,#68 of 408 hotels in Da Nang,5,,37,Excellent,21,"Charming,Trendy",10,https://www.tripadvisor.com/Hotel_Review-g298085-d14929076-Reviews-Lahome_Apartment_And_Villa-Da_Nang.html
"Lot H1-04, H1-05, H1-06 Pham Van Dong Street, Son Tra District, Da Nang 550000 Vietnam",4,73,640,Vietnamese,Hadana Boutique Hotel,$41 ,,"$27, - ,$41","Which popular attractions are close to Hadana Boutique Hotel?, ,What are some of the property amenities at Hadana Boutique Hotel?, ,Which room amenities are available at Hadana Boutique Hotel?, ,What food & drink options are available at Hadana Boutique Hotel?, ,Is parking available at Hadana Boutique Hotel?, ,What are some restaurants close to Hadana Boutique Hotel?, ,Are there opportunities to exercise at Hadana Boutique Hotel?, ,Does Hadana Boutique Hotel have airport transportation?, ,Does Hadana Boutique Hotel have any great views?, ,Is Hadana Boutique Hotel accessible?, ",26,"1,865",#6 of 408 hotels in Da Nang,5,3.5 of 5 bubbles,22,Excellent,52,"City View,Modern",139,https://www.tripadvisor.com/Hotel_Review-g298085-d9702684-Reviews-Hadana_Boutique_Hotel-Da_Nang.html
"10 Le Lo street, My An ward My An ward, Ngu Hanh Son district, Danang City, VietNam, Da Nang 550000 Vietnam",5,79,218,"English, Vietnamese",Grand Sunrise Boutique Hotel,$57 ,$27 ,"$27, - ,$57","Which popular attractions are close to Grand Sunrise Boutique Hotel?, ,What are some of the property amenities at Grand Sunrise Boutique Hotel?, ,Which room amenities are available at Grand Sunrise Boutique Hotel?, ,What food & drink options are available at Grand Sunrise Boutique Hotel?, ,Is parking available at Grand Sunrise Boutique Hotel?, ,What are some restaurants close to Grand Sunrise Boutique Hotel?, ,Are there opportunities to exercise at Grand Sunrise Boutique Hotel?, ,Does Grand Sunrise Boutique Hotel have an airport shuttle?, ,Does Grand Sunrise Boutique Hotel have airport transportation?, ,Are any cleaning services offered at Grand Sunrise Boutique Hotel?, ,Does Grand Sunrise Boutique Hotel offer any business services?, ",38,350,#28 of 408 hotels in Da Nang,5,3.0 of 5 bubbles,109,Excellent,80,"Charming,Business",20,https://www.tripadvisor.com/Hotel_Review-g298085-d15225205-Reviews-Grand_Sunrise_Boutique_Hotel-Da_Nang.html
"202 Nguyen Chi Thanh Phuoc Ninh, Hai Chau, Da Nang 550000 Vietnam",20,92,276,Vietnamese,Fivitel Boutique Da Nang,$44 ,$32 ,"$32, - ,$44","Which popular attractions are close to Fivitel Boutique Da Nang?, ,What are some of the property amenities at Fivitel Boutique Da Nang?, ,Which room amenities are available at Fivitel Boutique Da Nang?, ,What food & drink options are available at Fivitel Boutique Da Nang?, ,Is parking available at Fivitel Boutique Da Nang?, ,What are some restaurants close to Fivitel Boutique Da Nang?, ,Are there opportunities to exercise at Fivitel Boutique Da Nang?, ,Is Fivitel Boutique Da Nang located near the city center?, ,Are any cleaning services offered at Fivitel Boutique Da Nang?, ,Does Fivitel Boutique Da Nang offer any business services?, ,Does Fivitel Boutique Da Nang have any great views?, ",29,364,#66 of 408 hotels in Da Nang,4.5,4.0 of 5 bubbles,174,Excellent,84,"Centrally Located,Great View",24,https://www.tripadvisor.com/Hotel_Review-g298085-d6161470-Reviews-Fivitel_Boutique_Da_Nang-Da_Nang.html
"155-157 Le Quang Dao Ngu Hanh Son, Da Nang 550000 Vietnam",8,74,270,"English, Vietnamese",Queen's Finger Hotel,$32 ,$20 ,"$20, - ,$32","Which popular attractions are close to Queen's Finger Hotel?, ,What are some of the property amenities at Queen's Finger Hotel?, ,Which room amenities are available at Queen's Finger Hotel?, ,What food & drink options are available at Queen's Finger Hotel?, ,Is parking available at Queen's Finger Hotel?, ,What are some restaurants close to Queen's Finger Hotel?, ,Are there opportunities to exercise at Queen's Finger Hotel?, ,Does Queen's Finger Hotel have airport transportation?, ,Are any cleaning services offered at Queen's Finger Hotel?, ,Which languages are spoken by the staff at Queen's Finger Hotel?, ",40,377,#36 of 408 hotels in Da Nang,4.5,3.0 of 5 bubbles,165,Excellent,56,"Business,Family",36,https://www.tripadvisor.com/Hotel_Review-g298085-d10255974-Reviews-Queen_s_Finger_Hotel-Da_Nang.html
"34 Nguyen Lo Trach, Da Nang Vietnam",2,56,,,Tuyen Son Hotel,12,Vietnam,"Vietnam,Da Nang,12","Which popular attractions are close to Tuyen Son Hotel?, ,What are some of the property amenities at Tuyen Son Hotel?, ,What are some restaurants close to Tuyen Son Hotel?, ",,1 review,#135 of 279 small hotels in Da Nang,5,1.0 of 5 bubbles,10,Excellent,12,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d6207936-Reviews-Tuyen_Son_Hotel-Da_Nang.html
"182 Bach Dang Street, Da Nang 550000 Vietnam",25,94,32,"English, Vietnamese",Haian Riverfront Hotel,100,Vietnam,"Vietnam,Da Nang,100","Which popular attractions are close to Haian Riverfront Hotel?, ,What are some of the property amenities at Haian Riverfront Hotel?, ,Which room amenities are available at Haian Riverfront Hotel?, ,What food & drink options are available at Haian Riverfront Hotel?, ,Is parking available at Haian Riverfront Hotel?, ,What are some restaurants close to Haian Riverfront Hotel?, ,Are there opportunities to exercise at Haian Riverfront Hotel?, ,Does Haian Riverfront Hotel have airport transportation?, ,Are any cleaning services offered at Haian Riverfront Hotel?, ,Does Haian Riverfront Hotel offer any business services?, ",26,17,#130 of 408 hotels in Da Nang,5,4.0 of 5 bubbles,157,Excellent,100,Business,4,https://www.tripadvisor.com/Hotel_Review-g298085-d20063843-Reviews-Haian_Riverfront_Hotel-Da_Nang.html
"234 Vo Nguyen Giap Street, Phuoc My Ward, Son Tra District, Da Nang 550000 Vietnam",11,85,18,"English, Vietnamese",Canvas Danang Beach Hotel,100,Vietnam,"Vietnam,Da Nang,100","Which popular attractions are close to Canvas Danang Beach Hotel?, ,What are some of the property amenities at Canvas Danang Beach Hotel?, ,Which room amenities are available at Canvas Danang Beach Hotel?, ,What food & drink options are available at Canvas Danang Beach Hotel?, ,Is parking available at Canvas Danang Beach Hotel?, ,What are some restaurants close to Canvas Danang Beach Hotel?, ,Are there opportunities to exercise at Canvas Danang Beach Hotel?, ,Does Canvas Danang Beach Hotel have airport transportation?, ,Does Canvas Danang Beach Hotel offer any business services?, ,Which languages are spoken by the staff at Canvas Danang Beach Hotel?, ",28,8,#171 of 408 hotels in Da Nang,5,,72,Excellent,100,,3,https://www.tripadvisor.com/Hotel_Review-g298085-d21020893-Reviews-Canvas_Danang_Beach_Hotel-Da_Nang.html
"39 Ha Bong, Phuoc My Ward, Son Tra District Behind A La Carte Hotel, Da Nang Vietnam",12,87,2,"English, Vietnamese",Green Moon Hostel,15,Vietnam,"Vietnam,Da Nang,15","Which popular attractions are close to Green Moon Hostel?, ,What are some of the property amenities at Green Moon Hostel?, ,Which room amenities are available at Green Moon Hostel?, ,What food & drink options are available at Green Moon Hostel?, ,Is parking available at Green Moon Hostel?, ,What are some restaurants close to Green Moon Hostel?, ,Does Green Moon Hostel have an airport shuttle?, ,Does Green Moon Hostel have airport transportation?, ,Are any cleaning services offered at Green Moon Hostel?, ,Which languages are spoken by the staff at Green Moon Hostel?, ",16,6,#52 of 133 hostels in Da Nang,4.5,2.0 of 5 bubbles,77,Excellent,15,"Family,Budget",2,https://www.tripadvisor.com/Hotel_Review-g298085-d12215465-Reviews-Green_Moon_Hostel-Da_Nang.html
"43 Vo Nghia, Phu_c M_, Son Tra, Da Nang 550000 Vietnam",5,80,13,"English, Vietnamese",M Boutique Danang,20,Vietnam,"Vietnam,Da Nang,20","Which popular attractions are close to M Boutique Danang?, ,What are some of the property amenities at M Boutique Danang?, ,Which room amenities are available at M Boutique Danang?, ,What food & drink options are available at M Boutique Danang?, ,Is parking available at M Boutique Danang?, ,What are some restaurants close to M Boutique Danang?, ,Are there opportunities to exercise at M Boutique Danang?, ,Does M Boutique Danang have airport transportation?, ,Which languages are spoken by the staff at M Boutique Danang?, ,Does M Boutique Danang have any great views?, ",44,23,#110 of 408 hotels in Da Nang,5,,44,Excellent,20,"City View,Business",16,https://www.tripadvisor.com/Hotel_Review-g298085-d21041406-Reviews-M_Boutique_Danang-Da_Nang.html
"01 My Khe 1, Da Nang 550000 Vietnam",2,80,3,,Tiffany House Da Nang,10,Vietnam,"Vietnam,Da Nang,10","Which popular attractions are close to Tiffany House Da Nang?, ,What are some of the property amenities at Tiffany House Da Nang?, ,Is parking available at Tiffany House Da Nang?, ,What are some restaurants close to Tiffany House Da Nang?, ",10,11,#172 of 408 hotels in Da Nang,5,,37,Excellent,10,,4,https://www.tripadvisor.com/Hotel_Review-g298085-d17427018-Reviews-Tiffany_House_Da_Nang-Da_Nang.html
"118-120 Vo Nguyen Giap Phuoc My Ward, Son Tra District, Da Nang 550000 Vietnam",1,72,712,Vietnamese,Four Points by Sheraton Danang,$144 ,$78 ,"$78, - ,$144","Which popular attractions are close to Four Points by Sheraton Danang?, ,What are some of the property amenities at Four Points by Sheraton Danang?, ,Which room amenities are available at Four Points by Sheraton Danang?, ,What food & drink options are available at Four Points by Sheraton Danang?, ,Is parking available at Four Points by Sheraton Danang?, ,What are some restaurants close to Four Points by Sheraton Danang?, ,Are there opportunities to exercise at Four Points by Sheraton Danang?, ,Are pets allowed at Four Points by Sheraton Danang?, ,Does Four Points by Sheraton Danang offer any business services?, ,Does Four Points by Sheraton Danang have any great views?, ,Is Four Points by Sheraton Danang accessible?, ",144,421,#52 of 408 hotels in Da Nang,4.5,3.0 of 5 bubbles,28,Excellent,390,"Harbor View,Great View",2,https://www.tripadvisor.com/Hotel_Review-g298085-d14025941-Reviews-Four_Points_by_Sheraton_Danang-Da_Nang.html
"My An Ward, Ngu Hanh Son District, Da Nang Vietnam",5,79,,,New Hotel,34,Vietnam,"Vietnam,Da Nang,34","Which popular attractions are close to New Hotel?, ,What are some of the property amenities at New Hotel?, ,What food & drink options are available at New Hotel?, ,Is parking available at New Hotel?, ,What are some restaurants close to New Hotel?, ,Does New Hotel have airport transportation?, ",,8,#51 of 279 small hotels in Da Nang,4.5,,88,Excellent,34,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d9559837-Reviews-New_Hotel-Da_Nang.html
"Lot 9 Dinh Thi Hoa An Hai Bac Ward, Son Tra District, Da Nang 55000 Vietnam",4,70,14,,Carpe Diem Inn Da Nang,7,Vietnam,"Vietnam,Da Nang,7","Which popular attractions are close to Carpe Diem Inn Da Nang?, ,What are some of the property amenities at Carpe Diem Inn Da Nang?, ,What food & drink options are available at Carpe Diem Inn Da Nang?, ,Is parking available at Carpe Diem Inn Da Nang?, ,What are some restaurants close to Carpe Diem Inn Da Nang?, ,Does Carpe Diem Inn Da Nang have an airport shuttle?, ,Does Carpe Diem Inn Da Nang have airport transportation?, ,Does Carpe Diem Inn Da Nang offer any business services?, ",7,24,#22 of 133 hostels in Da Nang,4.5,1.0 of 5 bubbles,23,Excellent,7,"Trendy,Budget",5,https://www.tripadvisor.com/Hotel_Review-g298085-d12106198-Reviews-Carpe_Diem_Inn_Da_Nang-Da_Nang.html
"51 Nguyen Lo Trach, Da Nang Vietnam",0,0,,,Nami Homestay,,Vietnam,"Vietnam,Da Nang","Which popular attractions are close to Nami Homestay?, ,What are some restaurants close to Nami Homestay?, ",,1 review,#82 of 133 hostels in Da Nang,5,,0,Excellent,Da Nang,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d16645467-Reviews-Nami_Homestay-Da_Nang.html
"4 Le Hong Phong, Da Nang Vietnam",24,92,,,GoHome - Banana Dorm 8 Bed,,Vietnam,"Vietnam,Da Nang","Which popular attractions are close to GoHome - Banana Dorm 8 Bed?, ,What are some restaurants close to GoHome - Banana Dorm 8 Bed?, ",,1 review,#83 of 133 hostels in Da Nang,5,2.0 of 5 bubbles,157,Excellent,Da Nang,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d17710099-Reviews-GoHome_Banana_Dorm_8_Bed-Da_Nang.html
"02 Nai Nam, Hai Chau, Hoa Cuong Bac, Hai Chau, Da Nang Vietnam",7,57,,,Caprice Hotel Danang,,Vietnam,"Vietnam,Da Nang","Which popular attractions are close to Caprice Hotel Danang?, ",,1 review,#316 of 408 hotels in Da Nang,5,3.0 of 5 bubbles,25,Excellent,Da Nang,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d17462659-Reviews-Caprice_Hotel_Danang-Da_Nang.html
"67 Bui Thi Xuan Street Son Tra District, Da Nang Vietnam",2,67,1,"English, Korean, Vietnamese",Trip DaNang Hostel,24,Vietnam,"Vietnam,Da Nang,24","Which popular attractions are close to Trip DaNang Hostel?, ,What are some of the property amenities at Trip DaNang Hostel?, ,What food & drink options are available at Trip DaNang Hostel?, ,Is parking available at Trip DaNang Hostel?, ,What are some restaurants close to Trip DaNang Hostel?, ",8,1 review,#93 of 133 hostels in Da Nang,5,,15,Excellent,24,Budget,1,https://www.tripadvisor.com/Hotel_Review-g298085-d11949471-Reviews-Trip_DaNang_Hostel-Da_Nang.html
"K 02/09 Ha Bong, Son Tra District, Da Nang Vietnam",11,51,,,Soony Guesthouse,,Vietnam,"Vietnam,Da Nang","Which popular attractions are close to Soony Guesthouse?, ,What are some restaurants close to Soony Guesthouse?, ",,1 review,#25 of 31 guest houses in Da Nang,5,,47,Excellent,Da Nang,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d12794412-Reviews-Soony_Guesthouse-Da_Nang.html
"76 Nguyen Binh Khiem, Da Nang Vietnam",8,75,,,Cheap & Cosy Hostel,,Vietnam,"Vietnam,Da Nang","Which popular attractions are close to Cheap & Cosy Hostel?, ",,1 review,#85 of 133 hostels in Da Nang,5,,30,Excellent,Da Nang,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d11712910-Reviews-Cheap_Cosy_Hostel-Da_Nang.html
"1 Nguyen Dang Giai Street, Tho Quang Ward, Son Tra District, Da Nang Vietnam",0,0,,,Cloudy Thanh Hostel,,Vietnam,"Vietnam,Da Nang",,,1 review,#97 of 133 hostels in Da Nang,5,,0,Excellent,Da Nang,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d11661352-Reviews-Cloudy_Thanh_Hostel-Da_Nang.html
"Lot G27 Pham Van Dong Street, An Hai Bac Ward, Son Tra District, Da Nang Vietnam",5,75,,,Veni Hotel,,Vietnam,"Vietnam,Da Nang","Which popular attractions are close to Veni Hotel?, ",,1 review,#337 of 408 hotels in Da Nang,5,,28,Excellent,Da Nang,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d7194408-Reviews-Veni_Hotel-Da_Nang.html
"Lot I11, Pham Van Dong Street, Da Nang Vietnam",2,54,,,HP Hotel,,Vietnam,"Vietnam,Da Nang","Which popular attractions are close to HP Hotel?, ,What are some of the property amenities at HP Hotel?, ,Which room amenities are available at HP Hotel?, ,What are some restaurants close to HP Hotel?, ",,1 review,#154 of 279 small hotels in Da Nang,5,,17,Excellent,Da Nang,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d3188234-Reviews-HP_Hotel-Da_Nang.html
"109D Duong Dinh Nghe Street, Son Tra District, Da Nang Vietnam",48,44,,,Mat Troi Hong Hotel,18,Vietnam,"Vietnam,Da Nang,18","Which popular attractions are close to Mat Troi Hong Hotel?, ,What are some restaurants close to Mat Troi Hong Hotel?, ",,1 review,#149 of 279 small hotels in Da Nang,5,,357,Excellent,18,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d10223930-Reviews-Mat_Troi_Hong_Hotel-Da_Nang.html
"K357/20 Le Van Hien Tuyen Hoa, Da Nang Vietnam",0,0,,"English, Vietnamese",Thanh Dong Hotel,24,Vietnam,"Vietnam,Da Nang,24","Which popular attractions are close to Thanh Dong Hotel?, ,What are some of the property amenities at Thanh Dong Hotel?, ,Which room amenities are available at Thanh Dong Hotel?, ,What are some restaurants close to Thanh Dong Hotel?, ,Which languages are spoken by the staff at Thanh Dong Hotel?, ",,1 review,#160 of 279 small hotels in Da Nang,5,,0,Excellent,24,,0,https://www.tripadvisor.com/Hotel_Review-g298085-d6434916-Reviews-Thanh_Dong_Hotel-Da_Nang.html
