HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"S_ 1 Du_ng Vo Van Ki_t, Dong Ahn, Hanoi Vietnam",NA,NA,NA,,,Khach San Minh Huyen Thang Long,$12,$12,"$12, - ,$12","Which popular attractions are close to Khach San Minh Huyen Thang Long?, ,What are some restaurants close to Khach San Minh Huyen Thang Long?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g23257261-d23256810-Reviews-Khach_San_Minh_Huyen_Thang_Long-Dong_Ahn_Hanoi.html
"Du_ng Doi Tr_n Phu, Lien Nghia 66800 Vietnam",NA,NA,NA,,,Bang Thanh Hotel,Lien Nghia,Vietnam,"Vietnam,Lam Dong Province,Lien Nghia","What are some restaurants close to Bang Thanh Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g19844636-d21405823-Reviews-Bang_Thanh_Hotel-Lien_Nghia_Lam_Dong_Province.html
"41 Duong Hoang Van Thu, phuong 5, Da Lat Vietnam",6,41,NA,,,Da Lat Cam ly Hotel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Da Lat Cam ly Hotel?, ,What are some restaurants close to Da Lat Cam ly Hotel?, ",NA,NA,NA,NA,NA,15,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23241835-Reviews-Da_Lat_Cam_ly_Hotel-Da_Lat_Lam_Dong_Province.html
"Hoang Van Thu Street C32KQH Hoang Van Thu, Da Lat Vietnam",7,42,NA,,,Khanh Sang,$12,$12,"$12, - ,$12","Which popular attractions are close to Khanh Sang?, ,What are some restaurants close to Khanh Sang?, ",NA,NA,NA,NA,NA,16,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23277928-Reviews-Khanh_Sang-Da_Lat_Lam_Dong_Province.html
"10 Vo Nguyen Giap stresst, Thai Phu, Hanoi 100000 Vietnam",NA,NA,32,"English, Vietnamese",,Airport Classic Hotel & Travel,Thai Phu,Vietnam,"Vietnam,Hanoi,Thai Phu","What are some of the property amenities at Airport Classic Hotel & Travel?, ,Which room amenities are available at Airport Classic Hotel & Travel?, ,What food & drink options are available at Airport Classic Hotel & Travel?, ,Is parking available at Airport Classic Hotel & Travel?, ,What are some restaurants close to Airport Classic Hotel & Travel?, ,Does Airport Classic Hotel & Travel have an airport shuttle?, ,Does Airport Classic Hotel & Travel have airport transportation?, ,Are any cleaning services offered at Airport Classic Hotel & Travel?, ,Are pets allowed at Airport Classic Hotel & Travel?, ,Does Airport Classic Hotel & Travel offer any business services?, ",5,1,NA,50,NA,NA,Excellent,20,NA,,2,https://www.tripadvisor.com/Hotel_Review-g21157074-d21206277-Reviews-Airport_Classic_Hotel_Travel-Thai_Phu_Hanoi.html
"Du_ng Thanh Tam S_ 100, Da Lat Vietnam",4,45,NA,,,Villa Duc Minh,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Villa Duc Minh?, ,What are some restaurants close to Villa Duc Minh?, ",NA,NA,NA,NA,NA,24,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23515465-Reviews-Villa_Duc_Minh-Da_Lat_Lam_Dong_Province.html
"Ngo Tat To, Bac Ninh 220000 Vietnam",NA,NA,6,,,Queen Hotel Bac Ninh,Bac Ninh,Vietnam,"Vietnam,Bac Ninh Province,Bac Ninh","What are some of the property amenities at Queen Hotel Bac Ninh?, ,What food & drink options are available at Queen Hotel Bac Ninh?, ,Is parking available at Queen Hotel Bac Ninh?, ,What are some restaurants close to Queen Hotel Bac Ninh?, ,Does Queen Hotel Bac Ninh have airport transportation?, ,Is Queen Hotel Bac Ninh located near the city center?, ",2,NA,NA,NA,NA,NA,NA,50,NA,,2,https://www.tripadvisor.com/Hotel_Review-g2082662-d15512778-Reviews-Queen_Hotel_Bac_Ninh-Bac_Ninh_Bac_Ninh_Province.html
"12B Huyen Tran Cong Chua, Phuong 4, Da Lat Vietnam",7,57,NA,,,Villa Bao Duy,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Villa Bao Duy?, ,What are some restaurants close to Villa Bao Duy?, ",NA,NA,NA,NA,NA,45,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21134654-Reviews-Villa_Bao_Duy-Da_Lat_Lam_Dong_Province.html
"15B Cao Thang, District 7, Da Lat 670000 Vietnam",NA,NA,NA,,,Dalat Cil's Home,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Dalat Cil's Home?, ,What are some restaurants close to Dalat Cil's Home?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21348133-Reviews-Dalat_Cil_s_Home-Da_Lat_Lam_Dong_Province.html
"32 uong Mau Tam So 32, Duong Mau Tam, Phuong 4, Da Lat Vietnam",8,56,NA,,,Nha Minh,$49,$20,"$20, - ,$49","Which popular attractions are close to Nhà Mình?, ,What are some restaurants close to Nhà Mình?, ",NA,NA,NA,NA,NA,46,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21373309-Reviews-Nha_Minh-Da_Lat_Lam_Dong_Province.html
"167 Duong Ngo Thi Nham Phuong 4, Da Lat Vietnam",10,63,NA,,,Nhep's House,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Nhep's House?, ,What are some restaurants close to Nhep's House?, ",NA,NA,NA,NA,NA,65,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23273789-Reviews-Nhep_s_House-Da_Lat_Lam_Dong_Province.html
"94 Hoang Dieu Street, Da Lat Vietnam",14,59,NA,,,Tropical Garden Homestay,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Tropical Garden Homestay?, ,What are some restaurants close to Tropical Garden Homestay?, ",NA,NA,NA,NA,NA,100,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23527432-Reviews-Tropical_Garden_Homestay-Da_Lat_Lam_Dong_Province.html
"27 Duong Ma Trang Son, Da Lat Vietnam",19,61,NA,,,Khach San Ha Anh Da Lat,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Khach San Ha Anh Da Lat?, ,What are some restaurants close to Khach San Ha Anh Da Lat?, ,Is Khach San Ha Anh Da Lat located near the city center?, ",NA,NA,NA,NA,NA,117,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23284314-Reviews-Khach_San_Ha_Anh_Da_Lat-Da_Lat_Lam_Dong_Province.html
"B15 Bach Dang, Ngo Quyen, Ward 6, Da Lat Vietnam",4,52,NA,,,Home - Gia Dinh Nho,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Home - Gia Dinh Nho?, ,What are some restaurants close to Home - Gia Dinh Nho?, ",NA,NA,NA,NA,NA,28,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23218960-Reviews-Home_Gia_Dinh_Nho-Da_Lat_Lam_Dong_Province.html
"23 Du_ng Thi_n Y, Da Lat Vietnam",2,71,NA,,,L-V-D Home,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to L-V-D Home?, ,What are some restaurants close to L-V-D Home?, ,Is L-V-D Home located near the city center?, ",NA,NA,NA,NA,NA,17,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23344626-Reviews-L_V_D_Home-Da_Lat_Lam_Dong_Province.html
"66 To Vinh Di_n, Phu_ng 7, Da Lat Vietnam",5,52,NA,,,Lamui Homestay,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Lamui Homestay?, ,What are some restaurants close to Lamui Homestay?, ",NA,NA,NA,NA,NA,37,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23275834-Reviews-Lamui_Homestay-Da_Lat_Lam_Dong_Province.html
"Hem 27 Le Hong Phong, Da Lat Vietnam",7,67,NA,,,Da Lat An Nhien house,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Da Lat An Nhien house?, ,What are some restaurants close to Da Lat An Nhien house?, ",NA,NA,NA,NA,NA,63,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d23373173-Reviews-Da_Lat_An_Nhien_house-Da_Lat_Lam_Dong_Province.html
"55/11 Duong Thien Y, Da Lat Vietnam",17,65,NA,,,Ngo Gia Home,$47,$16,"$16, - ,$47","Which popular attractions are close to Ngo Gia Home?, ,What are some restaurants close to Ngo Gia Home?, ",NA,NA,NA,NA,NA,106,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293922-d21396405-Reviews-Ngo_Gia_Home-Da_Lat_Lam_Dong_Province.html
"Ngo Tat to Street, Bac Ninh Vietnam",NA,NA,NA,,,Best Hotel Bac Ninh,Bac Ninh,Vietnam,"Vietnam,Bac Ninh Province,Bac Ninh","Which popular attractions are close to Best Hotel Bac Ninh?, ,What are some restaurants close to Best Hotel Bac Ninh?, ",NA,NA,NA,NA,20,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g2082662-d15190686-Reviews-Best_Hotel_Bac_Ninh-Bac_Ninh_Bac_Ninh_Province.html
"Da Nghit - Suoi Vang - Lac Duong, Lac Duong 670000 Vietnam",NA,NA,NA,,,Laan Dalat Resort & Spa,Lac Duong,Vietnam,"Vietnam,Lam Dong Province,Lac Duong","Which popular attractions are close to Laan Dalat Resort & Spa?, ,What are some restaurants close to Laan Dalat Resort & Spa?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g14759657-d16806464-Reviews-Laan_Dalat_Resort_Spa-Lac_Duong_Lam_Dong_Province.html
"32-36 Le Thai To Street, Vo Cuong Dist, Bac Ninh 790000 Vietnam",NA,NA,11,"English, Korean, Vietnamese",,CD Hotel,Bac Ninh,Vietnam,"Vietnam,Bac Ninh Province,Bac Ninh","What are some of the property amenities at CD Hotel?, ,Which room amenities are available at CD Hotel?, ,What food & drink options are available at CD Hotel?, ,Is parking available at CD Hotel?, ,What are some restaurants close to CD Hotel?, ,Are there opportunities to exercise at CD Hotel?, ,Does CD Hotel have airport transportation?, ,Is CD Hotel located near the city center?, ,Which languages are spoken by the staff at CD Hotel?, ,Are there any historical sites close to CD Hotel?, ",14,NA,NA,NA,NA,NA,NA,98,NA,,14,https://www.tripadvisor.com/Hotel_Review-g2082662-d20953081-Reviews-CD_Hotel-Bac_Ninh_Bac_Ninh_Province.html
"No.6 Lane 84 Dam Quang Trung Street Long Bien District, Hanoi Vietnam",NA,NA,NA,,,RedDoorz near Aeon Mall Long Bien,12,Vietnam,"Vietnam,Hanoi,12","Which popular attractions are close to RedDoorz near Aeon Mall Long Bien?, ,What are some restaurants close to RedDoorz near Aeon Mall Long Bien?, ",NA,NA,NA,NA,NA,NA,NA,12,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293924-d19453310-Reviews-RedDoorz_near_Aeon_Mall_Long_Bien-Hanoi.html
"Dong Coi, Gia Dong Vietnam",NA,NA,NA,,,Sun Hotel & Apartment,Gia Dong,Vietnam,"Vietnam,Bac Ninh Province,Gia Dong","Which popular attractions are close to Sun Hotel & Apartment?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g21122327-d21121922-Reviews-Sun_Hotel_Apartment-Gia_Dong_Bac_Ninh_Province.html
"Nguyen Nang Tinh, Thu Thuy, Cua Lo Vietnam",NA,NA,NA,,,Bao Nam Hotel,Cua Lo,Vietnam,"Vietnam,Nghe An Province,Cua Lo","Which popular attractions are close to Bao Nam Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g4235728-d10713876-Reviews-Bao_Nam_Hotel-Cua_Lo_Nghe_An_Province.html
"102/1A Cong Quynh District 1, Ho Chi Minh City 848 Vietnam",43,91,32,"English, Vietnamese",,Saigon Zoom Hotel,20,Vietnam,"Vietnam,Ho Chi Minh City,20","Which popular attractions are close to Saigon Zoom Hotel?, ,What are some of the property amenities at Saigon Zoom Hotel?, ,Which room amenities are available at Saigon Zoom Hotel?, ,What food & drink options are available at Saigon Zoom Hotel?, ,Is parking available at Saigon Zoom Hotel?, ,What are some restaurants close to Saigon Zoom Hotel?, ,Are any cleaning services offered at Saigon Zoom Hotel?, ,Which languages are spoken by the staff at Saigon Zoom Hotel?, ,Are there any historical sites close to Saigon Zoom Hotel?, ",14,116,"#215 of 1,555 hotels in Ho Chi Minh City",40,20,328,Very good,20,Budget,,1,https://www.tripadvisor.com/Hotel_Review-g293925-d1113201-Reviews-Saigon_Zoom_Hotel-Ho_Chi_Minh_City.html
"Phu_ng Hung Dung D_i L_ Le Nin, Vinh Vietnam",NA,NA,NA,,,Khach San Toan Thắng Stone,$75,$34,"$34, - ,$75","What are some restaurants close to Khách San Toàn Thắng Stone?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1554764-d21370353-Reviews-Khach_San_Toan_Th_ng_Stone-Vinh_Nghe_An_Province.html
"151 Pham Ngoc Hung, Ninh Kieu Vietnam",39,38,NA,,,Khach San Tuyet,Ninh Kieu,Vietnam,"Vietnam,Mekong Delta,Ninh Kieu","Which popular attractions are close to Khach San Tuyet?, ,What are some restaurants close to Khach San Tuyet?, ",NA,NA,NA,NA,NA,194,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g17522097-d21273736-Reviews-Khach_San_Tuyet-Ninh_Kieu_Mekong_Delta.html
"Thon Thanh Van, Xuan Thanh 480000 Vietnam",NA,NA,NA,,,Muờng Thanh Luxury Hotel,Xuan Thanh,Vietnam,"Vietnam,Ha Tinh Province,Xuan Thanh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g23500475-d23498807-Reviews-Mu_ng_Thanh_Luxury_Hotel-Xuan_Thanh_Ha_Tinh_Province.html
"N6 Dinh Cong Trang, Can Tho Vietnam",6,61,NA,"English, French, Spanish, Italian",,Quynh Anh Motel,Can Tho,Vietnam,"Vietnam,Mekong Delta,Can Tho","Which popular attractions are close to Quynh Anh Motel?, ,What are some restaurants close to Quynh Anh Motel?, ,Which languages are spoken by the staff at Quynh Anh Motel?, ",NA,NA,NA,NA,NA,51,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g303942-d12448749-Reviews-Quynh_Anh_Motel-Can_Tho_Mekong_Delta.html
"222a Nguyen Sy Sach, Hung Dung, Vinh Vietnam",NA,NA,NA,,,Truc Mai Hotel,Vinh,Vietnam,"Vietnam,Nghe An Province,Vinh","Which popular attractions are close to Truc Mai Hotel?, ,What are some restaurants close to Truc Mai Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g1554764-d21187438-Reviews-Truc_Mai_Hotel-Vinh_Nghe_An_Province.html
"71 Tran Anh Tong, Quy Nhon Vietnam",2,50,NA,,,Kim Ngan Hotel,Quy Nhon,Vietnam,"Vietnam,Binh Dinh Province,Quy Nhon","Which popular attractions are close to Kim Ngan Hotel?, ,What are some restaurants close to Kim Ngan Hotel?, ",NA,NA,NA,NA,NA,40,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g608528-d21507680-Reviews-Kim_Ngan_Hotel-Quy_Nhon_Binh_Dinh_Province.html
"So 54-56 Bui Quang Trinh, Phu Thu, Cai Rang Vietnam",NA,NA,NA,,,Khach san Diem Ngoc,NA,Vietnam,Vietnam,"Which popular attractions are close to Khach san Diem Ngoc?, ,What are some restaurants close to Khach san Diem Ngoc?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293921-d23261804-Reviews-Khach_san_Diem_Ngoc-Vietnam.html
"18 Luu Huu Phuoc, Quy Nhon Vietnam",2,44,NA,,,Flower Hotel,Quy Nhon,Vietnam,"Vietnam,Binh Dinh Province,Quy Nhon","Which popular attractions are close to Flower Hotel?, ,What are some restaurants close to Flower Hotel?, ",NA,NA,NA,NA,NA,35,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g608528-d21505995-Reviews-Flower_Hotel-Quy_Nhon_Binh_Dinh_Province.html
"205 Can Vuong, Quy Nhon Vietnam",2,51,NA,,,Hai Yen,Quy Nhon,Vietnam,"Vietnam,Binh Dinh Province,Quy Nhon","Which popular attractions are close to Hai Yen?, ,What are some restaurants close to Hai Yen?, ",NA,NA,NA,NA,NA,14,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g608528-d18189357-Reviews-Hai_Yen-Quy_Nhon_Binh_Dinh_Province.html
"1a Tran Hung Dao 109E Tran Hung Dao 1a Trần Hưng Đạo 109E Trần Hưng Đạo, Quy Nhon Vietnam",2,42,NA,,,Ri Rot Homestay Quy Nhon,Quy Nhon,Vietnam,"Vietnam,Binh Dinh Province,Quy Nhon","Which popular attractions are close to Ri Rot Homestay Quy Nhon?, ,What are some restaurants close to Ri Rot Homestay Quy Nhon?, ",NA,NA,NA,NA,NA,26,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g608528-d23280145-Reviews-Ri_Rot_Homestay_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html
"96 Xuan Dieu, Quy Nhon Vietnam",1,40,NA,,,Viet Nam Taste Hotel,Quy Nhon,Vietnam,"Vietnam,Binh Dinh Province,Quy Nhon","Which popular attractions are close to Viet Nam Taste Hotel?, ,What are some restaurants close to Viet Nam Taste Hotel?, ",NA,NA,NA,NA,NA,20,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g608528-d23206924-Reviews-Viet_Nam_Taste_Hotel-Quy_Nhon_Binh_Dinh_Province.html
"16 Nguyen Hue Street, Le Loi Ward, Quy Nhon Vietnam",3,45,55,"English, Vietnamese",,Fleur De Lys Hotel Quy Nhon,Quy Nhon,Vietnam,"Vietnam,Binh Dinh Province,Quy Nhon","Which popular attractions are close to Fleur De Lys Hotel Quy Nhon?, ,What are some of the property amenities at Fleur De Lys Hotel Quy Nhon?, ,Which room amenities are available at Fleur De Lys Hotel Quy Nhon?, ,What food & drink options are available at Fleur De Lys Hotel Quy Nhon?, ,Is parking available at Fleur De Lys Hotel Quy Nhon?, ,What are some restaurants close to Fleur De Lys Hotel Quy Nhon?, ,Are there opportunities to exercise at Fleur De Lys Hotel Quy Nhon?, ,Does Fleur De Lys Hotel Quy Nhon have airport transportation?, ,Is Fleur De Lys Hotel Quy Nhon located near the city center?, ,Does Fleur De Lys Hotel Quy Nhon offer any business services?, ",47,42,#3 of 203 hotels in Quy Nhon,50,NA,34,Excellent,241,Business,,9,https://www.tripadvisor.com/Hotel_Review-g608528-d21356072-Reviews-Fleur_De_Lys_Hotel_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html
"50 Le L_i, Quy Nhon Vietnam",4,51,NA,,,Aloha Quy Nhon,Quy Nhon,Vietnam,"Vietnam,Binh Dinh Province,Quy Nhon","Which popular attractions are close to Aloha Quy Nhon?, ,What are some restaurants close to Aloha Quy Nhon?, ",NA,NA,NA,NA,NA,55,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g608528-d23380920-Reviews-Aloha_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html
"20/19 Nguyen Binh Street, Ho Chi Minh City 700000 Vietnam",NA,NA,NA,,,Bin Hom Condo Hotel Phu My Hung,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Bin Hom Condo Hotel Phu My Hung?, ,What are some restaurants close to Bin Hom Condo Hotel Phu My Hung?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21166188-Reviews-Bin_Hom_Condo_Hotel_Phu_My_Hung-Ho_Chi_Minh_City.html
"2, No.1 Street, Tan Thuan Dong Ward District 7, Ho Chi Minh City Vietnam",NA,NA,NA,,,RedDoorz Near Nam Long Residence,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to RedDoorz Near Nam Long Residence?, ,What are some restaurants close to RedDoorz Near Nam Long Residence?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23463856-Reviews-RedDoorz_Near_Nam_Long_Residence-Ho_Chi_Minh_City.html
"No. 7, Road No. 8, Quarter 3, Binh Thuan Ward, District 7, Ho Chi Minh City Vietnam",NA,NA,NA,,,Metropole House,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Metropole House?, ,What are some restaurants close to Metropole House?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23191359-Reviews-Metropole_House-Ho_Chi_Minh_City.html
